gene_name,GO_process
Actb,stem cell population maintenance
Actl6a,stem cell population maintenance
Actl6b,stem cell population maintenance
Apc,stem cell population maintenance
Arid1a,stem cell population maintenance
Arid4a,stem cell population maintenance
Arid4b,stem cell population maintenance
Ascl2,stem cell population maintenance
Aspm,stem cell population maintenance
Bcl7a,stem cell population maintenance
Bcl7b,stem cell population maintenance
Bcl7c,stem cell population maintenance
Bcl9,stem cell population maintenance
Bcl9l,stem cell population maintenance
Bicra,stem cell population maintenance
Bicral,stem cell population maintenance
Bmp7,stem cell population maintenance
Bmpr1a,stem cell population maintenance
Braf,stem cell population maintenance
Brd9,stem cell population maintenance
Brms1,stem cell population maintenance
Brms1l,stem cell population maintenance
Cdc73,stem cell population maintenance
Cdh2,stem cell population maintenance
Cdkn2a,stem cell population maintenance
Cdx2,stem cell population maintenance
Cnot1,stem cell population maintenance
Cnot2,stem cell population maintenance
Cnot3,stem cell population maintenance
Crebbp,stem cell population maintenance
Crxos,stem cell population maintenance
Ctr9,stem cell population maintenance
Cul4a,stem cell population maintenance
Ddx6,stem cell population maintenance
Dicer1,stem cell population maintenance
Dis3l2,stem cell population maintenance
Dll1,stem cell population maintenance
Dpf2,stem cell population maintenance
Dppa2,stem cell population maintenance
Eif4e,stem cell population maintenance
Eif4enif1,stem cell population maintenance
Elavl1,stem cell population maintenance
Elf5,stem cell population maintenance
Eomes,stem cell population maintenance
Erdr1x,stem cell population maintenance
Esrrb,stem cell population maintenance
Fancc,stem cell population maintenance
Fancd2,stem cell population maintenance
Fgf4,stem cell population maintenance
Fgf10,stem cell population maintenance
Fgfr1,stem cell population maintenance
Fgfr3,stem cell population maintenance
Foxo1,stem cell population maintenance
Foxo3,stem cell population maintenance
Fut10,stem cell population maintenance
Fzd7,stem cell population maintenance
Gata2,stem cell population maintenance
Gnl3,stem cell population maintenance
Gsdma3,stem cell population maintenance
Hdac1,stem cell population maintenance
Hdac2,stem cell population maintenance
Hes1,stem cell population maintenance
Hes5,stem cell population maintenance
Hesx1,stem cell population maintenance
Hmga2,stem cell population maintenance
Hnf1b,stem cell population maintenance
Hook3,stem cell population maintenance
Igf2bp1,stem cell population maintenance
Ing1,stem cell population maintenance
Ing2,stem cell population maintenance
Jag1,stem cell population maintenance
Jmjd1c,stem cell population maintenance
Kat2a,stem cell population maintenance
Kat6a,stem cell population maintenance
Kdm2b,stem cell population maintenance
Kdm3a,stem cell population maintenance
Kdm4c,stem cell population maintenance
Kit,stem cell population maintenance
Klf4,stem cell population maintenance
Klf10,stem cell population maintenance
Lbh,stem cell population maintenance
Ldb1,stem cell population maintenance
Ldb2,stem cell population maintenance
Leo1,stem cell population maintenance
Lif,stem cell population maintenance
Lig4,stem cell population maintenance
Lin28a,stem cell population maintenance
Loxl2,stem cell population maintenance
Lrp5,stem cell population maintenance
Lsm1,stem cell population maintenance
Mapk8,stem cell population maintenance
Mcph1,stem cell population maintenance
Med6,stem cell population maintenance
Med7,stem cell population maintenance
Med10,stem cell population maintenance
Med12,stem cell population maintenance
Med14,stem cell population maintenance
Med15,stem cell population maintenance
Med17,stem cell population maintenance
Med21,stem cell population maintenance
Med24,stem cell population maintenance
Med27,stem cell population maintenance
Med28,stem cell population maintenance
Med30,stem cell population maintenance
Mettl3,stem cell population maintenance
Mettl14,stem cell population maintenance
Miat,stem cell population maintenance
Mir294,stem cell population maintenance
Mmp24,stem cell population maintenance
Mtf2,stem cell population maintenance
Myc,stem cell population maintenance
Nanog,stem cell population maintenance
Nanos2,stem cell population maintenance
Ncoa3,stem cell population maintenance
Nfib,stem cell population maintenance
Nfix,stem cell population maintenance
Nfya,stem cell population maintenance
Nipbl,stem cell population maintenance
Nkap,stem cell population maintenance
Nodal,stem cell population maintenance
Nog,stem cell population maintenance
Notch1,stem cell population maintenance
Nr2e1,stem cell population maintenance
Obox1,stem cell population maintenance
Ogt,stem cell population maintenance
Padi4,stem cell population maintenance
Paf1,stem cell population maintenance
Panct2,stem cell population maintenance
Pax2,stem cell population maintenance
Pax8,stem cell population maintenance
Pcm1,stem cell population maintenance
Pelo,stem cell population maintenance
Phf10,stem cell population maintenance
Phf19,stem cell population maintenance
Piwil2,stem cell population maintenance
Pla2g2a,stem cell population maintenance
Pou5f1,stem cell population maintenance
Pramel7,stem cell population maintenance
Prdm14,stem cell population maintenance
Prdm16,stem cell population maintenance
Prox1,stem cell population maintenance
Prrx1,stem cell population maintenance
Ptn,stem cell population maintenance
Raf1,stem cell population maintenance
Rbbp4,stem cell population maintenance
Rbbp7,stem cell population maintenance
Rbpj,stem cell population maintenance
Rest,stem cell population maintenance
Rif1,stem cell population maintenance
Rtf1,stem cell population maintenance
Sall1,stem cell population maintenance
Sall4,stem cell population maintenance
Sap30,stem cell population maintenance
Sap30l,stem cell population maintenance
Sap130,stem cell population maintenance
Sav1,stem cell population maintenance
Sct,stem cell population maintenance
Setd1a,stem cell population maintenance
Setd6,stem cell population maintenance
Sfrp1,stem cell population maintenance
Sin3a,stem cell population maintenance
Sinhcaf,stem cell population maintenance
Sirt6,stem cell population maintenance
Six2,stem cell population maintenance
Ski,stem cell population maintenance
Smarca2,stem cell population maintenance
Smarca4,stem cell population maintenance
Smarcb1,stem cell population maintenance
Smarcc1,stem cell population maintenance
Smarcd1,stem cell population maintenance
Smarce1,stem cell population maintenance
Smc1a,stem cell population maintenance
Smc3,stem cell population maintenance
Smc5,stem cell population maintenance
Smo,stem cell population maintenance
Sox2,stem cell population maintenance
Sox4,stem cell population maintenance
Sox9,stem cell population maintenance
Spi1,stem cell population maintenance
Srrt,stem cell population maintenance
Ss18,stem cell population maintenance
Stag2,stem cell population maintenance
Stat3,stem cell population maintenance
Suds3,stem cell population maintenance
Taf5l,stem cell population maintenance
Taf6l,stem cell population maintenance
Tal1,stem cell population maintenance
Tbx1,stem cell population maintenance
Tbx3,stem cell population maintenance
Tcf7l1,stem cell population maintenance
Tcf7l2,stem cell population maintenance
Tcf15,stem cell population maintenance
Tcl1,stem cell population maintenance
Tead1,stem cell population maintenance
Tead3,stem cell population maintenance
Tead4,stem cell population maintenance
Tet1,stem cell population maintenance
Tfap2c,stem cell population maintenance
Tpt1,stem cell population maintenance
Trim8,stem cell population maintenance
Trp63,stem cell population maintenance
Tuba3a,stem cell population maintenance
Tuba3b,stem cell population maintenance
Tut4,stem cell population maintenance
Vangl2,stem cell population maintenance
Vps72,stem cell population maintenance
Wdr43,stem cell population maintenance
Wdr47,stem cell population maintenance
Wdr62,stem cell population maintenance
Wnt7a,stem cell population maintenance
Wnt9b,stem cell population maintenance
Yap1,stem cell population maintenance
Zc3h13,stem cell population maintenance
Zfp36l2,stem cell population maintenance
Zfp322a,stem cell population maintenance
Zfp706,stem cell population maintenance
Zhx2,stem cell population maintenance
Zic3,stem cell population maintenance
